,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
0,0.329351,0.000075,0.000161,0.896743,0.000081,0.844478,0.172249,0.127207,0.067971,0.851382,0.244628
1,0.444750,0.000009,0.000004,0.649671,0.000008,0.239968,0.397186,0.174351,0.136714,0.000000,0.416085
2,0.696583,0.000013,0.000009,0.668459,0.000013,0.598094,0.072100,0.334428,0.902560,0.000000,0.700461
3,0.789578,0.000000,0.000000,0.805236,0.000000,0.687216,0.241997,0.141961,0.650971,0.000000,0.570634
4,0.760093,0.000337,0.000202,0.483430,0.000175,0.391940,0.463636,0.997803,0.494505,0.438260,0.480262
5,0.166805,0.000017,0.000016,0.716324,0.000012,0.205662,0.119417,0.205508,0.090051,0.000000,0.793145
6,0.336116,0.000000,0.000000,0.275657,0.000000,0.855764,0.004689,0.122613,0.907783,0.000000,0.768025
7,0.417178,0.000000,0.000000,0.805236,0.000000,0.145952,0.068120,0.696259,0.675715,0.000000,0.134468
8,0.815335,0.000000,0.000000,0.775254,0.000000,0.252067,0.026989,0.391055,0.190077,0.000000,0.729265
9,0.285005,0.000000,0.000000,0.567986,0.000000,0.483710,0.001916,0.223549,0.363418,0.000000,0.637906
10,0.445866,0.000000,0.000000,0.668459,0.000000,0.388166,0.072767,0.790975,0.231509,0.000000,0.608461
11,0.205118,0.001413,0.003178,0.067271,0.001992,0.375857,0.715577,0.291946,0.188913,0.084064,0.979179
12,0.522521,0.000001,0.000001,0.603685,0.000001,0.834922,0.211091,0.263532,0.073956,0.000000,0.688791
13,0.994738,0.000081,0.000086,0.631103,0.000051,0.247396,0.443928,0.084958,0.572917,0.000000,0.204909
14,0.591415,0.000891,0.000674,0.896743,0.000548,0.844252,0.197293,0.534567,0.842021,0.993169,0.109798
15,0.801960,0.000418,0.000188,0.917311,0.000282,0.486642,0.316385,0.643733,0.412198,0.269247,0.570120
16,0.674332,0.000000,0.000000,0.305250,0.000000,0.170456,0.278696,0.262905,0.936069,0.000000,0.051874
17,0.873257,0.000000,0.000000,0.242809,0.000000,0.839897,0.086409,0.099231,0.674560,0.000000,0.833646
18,0.531679,0.003483,0.011896,0.621904,0.009813,0.165402,0.158346,0.969395,0.688266,0.778738,0.670310
19,0.265818,0.000001,0.000000,0.161037,0.000002,0.221818,0.063332,0.124431,0.505432,0.000000,0.727651
20,0.008800,0.000000,0.000000,0.745603,0.000000,0.010732,0.417354,0.324494,0.798936,0.000000,0.492938
21,0.192460,0.000485,0.000735,0.866025,0.000531,0.047306,0.261799,0.291301,0.030849,0.878610,0.375483
22,0.665177,0.000001,0.000000,0.356832,0.000001,0.154153,0.032166,0.394964,0.292637,0.000000,0.645309
