,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
54,0.906264,0.239584,0.269906,0.413588,0.191303,0.919438,0.038634,0.163161,0.542823,0.023626,0.114027
55,0.749189,0.677799,0.303911,0.697031,0.528211,0.794191,0.018472,0.180288,0.471148,0.005932,0.863331
56,0.826033,0.282680,0.619043,0.125678,0.319441,0.456537,0.972769,0.872617,0.529955,0.007877,0.050141
57,0.029916,0.899380,0.787464,0.311413,0.894244,0.376129,0.431017,0.510944,0.695564,0.840860,0.081495
58,0.947385,0.169953,0.181520,0.096684,0.231531,0.807848,0.166782,0.999395,0.587352,0.101070,0.971029
59,0.940777,0.844055,0.542920,0.968944,0.571608,0.924353,0.931404,0.461464,0.076064,0.902840,0.043360
60,0.690454,0.626775,0.592295,0.855828,0.528211,0.266321,0.042855,0.269574,0.191907,0.475644,0.333337
61,0.174408,0.105375,0.083124,0.242809,0.121147,0.460857,0.389009,0.258450,0.727176,0.290389,0.849144
62,0.570910,0.202394,0.536909,0.845655,0.294019,0.536923,0.941650,0.894145,0.613309,0.926872,0.375739
63,0.944847,0.173567,0.029645,0.825387,0.087568,0.298253,0.048851,0.102608,0.019704,0.695336,0.567114
64,0.668283,0.032045,0.024520,0.063480,0.021799,0.412241,0.031269,0.032191,0.690297,0.342459,0.031947
65,0.801461,0.783569,0.419052,0.248084,0.506255,0.090524,0.828647,0.183679,0.466417,0.079117,0.387886
66,0.916288,0.038078,0.012853,0.958600,0.020843,0.524225,0.031033,0.078451,0.620560,0.039033,0.100465
67,0.608010,0.737518,0.639741,0.917311,0.544991,0.763541,0.623235,0.590384,0.375051,0.927470,0.941267
68,0.236618,0.527372,0.875593,0.317657,0.683792,0.918649,0.210661,0.902096,0.152627,0.428521,0.345986
69,0.871831,0.407917,0.634543,0.113357,0.535636,0.486131,0.591392,0.260240,0.132675,0.483361,0.010853
70,0.112868,0.200049,0.423154,0.198864,0.253170,0.988462,0.265436,0.145894,0.261441,0.359965,0.011653
71,0.426558,0.637140,0.718926,0.128915,0.456951,0.492682,0.454713,0.945643,0.530609,0.762759,0.652585
72,0.558211,0.159475,0.086285,0.524836,0.091845,0.696789,0.789580,0.601010,0.918883,0.005799,0.036462
73,0.100493,0.123081,0.084262,0.293169,0.062331,0.012588,0.008560,0.177835,0.282445,0.671913,0.388062
74,0.156398,0.720255,0.468984,0.886484,0.524518,0.578703,0.441262,0.186500,0.690297,0.940921,0.644755
75,0.017850,0.514421,0.746793,0.391705,0.796880,0.142330,0.104603,0.634798,0.234699,0.513580,0.880930
76,0.722588,0.606242,0.863023,0.168934,0.520839,0.143963,0.017250,0.848664,0.529955,0.280938,0.168656
77,0.223871,0.111386,0.039696,0.927617,0.069393,0.821995,0.100863,0.494733,0.431396,0.927092,0.015289
78,0.997752,0.012473,0.032545,0.968944,0.029204,0.686461,0.193078,0.770992,0.620866,0.260735,0.073275
79,0.571467,0.251237,0.238912,0.979293,0.193232,0.685625,0.439162,0.865522,0.957907,0.829459,0.082672
80,0.269509,0.820652,0.823154,0.533330,0.488332,0.776080,0.125584,0.003208,0.219215,0.219365,0.610978
81,0.000219,0.528559,0.840418,0.649671,0.463825,0.895521,0.944794,0.835269,0.213123,0.613187,0.834470
82,0.328716,0.996556,0.993273,0.181319,0.972924,0.722460,0.088230,0.418970,0.069077,0.781639,0.583769
83,0.289545,0.013645,0.011793,0.621904,0.006852,0.977821,0.043686,0.075724,0.105229,0.262268,0.197499
84,0.847257,0.996680,0.784869,0.533330,0.683792,0.239246,0.373563,0.269840,0.547486,0.854317,0.595302
85,0.757307,0.450485,0.317885,0.805236,0.460381,0.296742,0.287952,0.586919,0.196039,0.402039,0.912944
86,0.534212,0.225777,0.417012,0.735800,0.241611,0.759583,0.673950,0.213823,0.496592,0.561430,0.104425
87,0.804541,0.997033,0.915375,0.585710,0.785984,0.807229,0.504049,0.955556,0.226604,0.921225,0.903342
88,0.930067,0.011003,0.084262,0.096684,0.047398,0.442584,0.114891,0.062965,0.559170,0.296580,0.002805
89,0.174677,0.754724,0.746793,0.989646,0.993230,0.280944,0.979669,0.102444,0.330751,0.389876,0.264554
90,0.459007,0.466782,0.620329,0.603685,0.856352,0.780863,0.558477,0.824111,0.126689,0.543144,0.507649
91,0.229345,0.851256,0.765263,0.594666,0.665197,0.441770,0.949071,0.951165,0.893169,0.760210,0.887931
92,0.980302,0.889883,0.927456,0.406215,0.622616,0.971117,0.018803,0.051525,0.478115,0.851646,0.763417
93,0.362787,0.664610,0.550182,0.815296,0.898719,0.184639,0.166568,0.631800,0.525004,0.847463,0.061568
94,0.049268,0.113207,0.094165,0.706654,0.099734,0.532810,0.023200,0.091210,0.190077,0.447837,0.945919
95,0.252776,0.542920,0.615191,0.612765,0.531917,0.718624,0.581498,0.056610,0.200815,0.540873,0.951095
96,0.690329,0.336678,0.059890,0.356832,0.224979,0.909263,0.522596,0.421254,0.831988,0.272778,0.228429
97,0.472763,0.157540,0.288849,0.677932,0.174576,0.492203,0.134432,0.074567,0.137710,0.753722,0.002713
98,0.045290,0.859525,0.824402,0.541893,0.560125,0.438953,0.523206,0.155181,0.071135,0.422094,0.883629
99,0.922916,0.345488,0.481214,0.735800,0.363918,0.856276,0.530889,0.462036,0.414149,0.192663,0.035189
100,0.681610,0.608793,0.792639,0.640358,0.843053,0.863311,0.310265,0.491267,0.597205,0.587052,0.041129
101,0.012523,0.450485,0.525003,0.533330,0.400884,0.568389,0.841777,0.133423,0.435982,0.780871,0.031292
102,0.887404,0.061842,0.163403,0.989646,0.136072,0.341853,0.107298,0.336760,0.537427,0.020242,0.150080
103,0.915004,0.572280,0.316216,0.697031,0.727918,0.905810,0.019751,0.048757,0.196039,0.082979,0.371515
104,0.907346,0.477858,0.342828,0.336879,0.320818,0.826422,0.447174,0.221290,0.977743,0.114834,0.740711
105,0.438345,0.580995,0.905516,0.377515,0.715211,0.939189,0.023690,0.800225,0.889964,0.952786,0.469488
106,0.756300,0.728227,0.577252,0.237614,0.869693,0.477927,0.024610,0.324727,0.045599,0.622589,0.003117
107,0.585617,0.307156,0.167915,0.264386,0.179109,0.576218,0.129024,0.383787,0.825313,0.941596,0.939009
108,0.189515,0.407917,0.734865,0.161037,0.575460,0.458876,0.705011,0.114870,0.245267,0.154133,0.413192
109,0.211126,0.791347,0.672516,0.016945,0.435011,0.258542,0.194470,0.520494,0.529203,0.014570,0.157349
110,0.314373,0.446205,0.814361,0.142517,0.490109,0.723945,0.812678,0.005120,0.244967,0.356844,0.890426
111,0.865004,0.394048,0.490237,0.603685,0.283732,0.193129,0.196493,0.900029,0.472406,0.800319,0.018422
112,0.866016,0.825648,0.758682,0.640358,0.446749,0.527690,0.584776,0.412449,0.221831,0.469520,0.556033
