,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
74,0.393824,0.374822,0.667243,0.377515,0.412077,0.798017,0.577257,0.132542,0.075876,0.355515,0.530374
75,0.982493,0.482336,0.833076,0.026474,0.475992,0.808994,0.493100,0.941051,0.074763,0.058366,0.784887
76,0.576333,0.113574,0.071938,0.697031,0.062729,0.154378,0.140168,0.118681,0.314166,0.539867,0.304746
77,0.775372,0.510922,0.774441,0.491567,0.770800,0.895086,0.089177,0.987396,0.711557,0.669224,0.123952
78,0.034765,0.604968,0.156580,0.119393,0.315334,0.760155,0.964211,0.918502,0.879022,0.045992,0.211069
79,0.684654,0.163403,0.559946,0.242809,0.326364,0.666747,0.345627,0.394142,0.015284,0.043294,0.257642
80,0.518715,0.299891,0.757363,0.232498,0.421817,0.654209,0.216166,0.883671,0.244536,0.069253,0.145047
81,0.573970,0.506280,0.874468,0.128915,0.508066,0.689754,0.383520,0.230093,0.234788,0.663592,0.925259
82,0.763082,0.188648,0.660666,0.293169,0.365414,0.852712,0.757120,0.323035,0.288525,0.503707,0.975302
83,0.515471,0.183690,0.030944,0.467378,0.099734,0.918077,0.341763,0.056873,0.094912,0.380041,0.296085
84,0.415390,0.036658,0.014603,0.825387,0.018469,0.242122,0.043788,0.805068,0.869945,0.026057,0.115576
85,0.266163,0.779664,0.597350,0.855828,0.544991,0.220065,0.189478,0.448855,0.266740,0.539026,0.363188
86,0.262154,0.493647,0.650178,0.835507,0.396144,0.884785,0.123167,0.336929,0.154523,0.003630,0.368029
87,0.036657,0.583497,0.913441,0.428570,0.708886,0.594699,0.561185,0.358859,0.016913,0.753405,0.194602
88,0.512227,0.148149,0.328893,0.677932,0.178196,0.117000,0.079247,0.130144,0.992201,0.210303,0.210303
89,0.659586,0.075776,0.334068,0.677932,0.208157,0.797627,0.634733,0.155335,0.194949,0.707219,0.591614
90,0.461810,0.648870,0.329751,0.866025,0.681717,0.736718,0.071992,0.538233,0.066402,0.013966,0.269948
91,0.938524,0.081441,0.107465,0.896743,0.061541,0.019344,0.026256,0.769508,0.344352,0.404462,0.068114
92,0.963406,0.984155,0.663295,0.305250,0.665197,0.424803,0.167067,0.507654,0.952845,0.002167,0.242418
93,0.666473,0.102980,0.116548,0.541893,0.066829,0.138976,0.458497,0.473298,0.548339,0.657650,0.014618
94,0.660759,0.054349,0.083691,0.621904,0.049984,0.177866,0.049090,0.923661,0.649192,0.537645,0.364087
95,0.174767,0.242966,0.520284,0.203439,0.369926,0.333803,0.845160,0.837997,0.332520,0.310719,0.015507
96,0.412095,0.038953,0.035419,0.483430,0.024358,0.078429,0.544098,0.566356,0.971598,0.294620,0.250303
97,0.681737,0.907525,0.689711,0.467378,0.803437,0.308095,0.215916,0.495406,0.320858,0.984134,0.616327
98,0.590588,0.700325,0.513253,0.107565,0.508066,0.814895,0.309251,0.821428,0.891422,0.644330,0.837736
99,0.066757,0.142738,0.061622,0.621904,0.125274,0.187622,0.079320,0.042597,0.842021,0.027734,0.872316
100,0.628324,0.680443,0.593557,0.051576,0.393002,0.302921,0.349030,0.735582,0.171797,0.025200,0.240498
101,0.308912,0.157540,0.538108,0.094106,0.299255,0.143907,0.164219,0.343063,0.753509,0.001441,0.987363
102,0.779848,0.687061,0.943496,0.016945,0.575460,0.145043,0.231335,0.474954,0.701828,0.154695,0.009243
103,0.657366,0.177773,0.032419,0.116345,0.093492,0.393895,0.081946,0.085623,0.490357,0.105443,0.013486
104,0.052478,0.207750,0.138353,0.716324,0.130227,0.547747,0.626721,0.521595,0.416266,0.446502,0.091549
105,0.256370,0.013587,0.024422,0.687457,0.012607,0.024537,0.390478,0.913158,0.006022,0.916902,0.625059
106,0.958404,0.507438,0.403920,0.491567,0.331971,0.782238,0.039377,0.514770,0.136714,0.607641,0.176564
107,0.348510,0.548968,0.527372,0.866025,0.288844,0.187132,0.236944,0.414837,0.156853,0.110304,0.220413
