,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs
60,0.791503,0.049535,0.053085,0.773903,0.028427,0.364946,0.635181,0.962264,0.605072,0.359672
61,0.937754,0.698212,0.544419,0.538167,0.865056,0.318507,0.409409,0.357670,0.778634,0.964226
62,0.086861,0.599268,0.914889,0.622387,0.610175,0.785196,0.309149,0.161186,0.146988,0.892353
63,0.261386,0.908694,0.902311,0.077617,0.992864,0.861036,0.571322,0.761562,0.594080,0.537133
64,0.416448,0.230882,0.648166,0.285964,0.380737,0.020526,0.013191,0.833050,0.537562,0.997258
65,0.650765,0.619461,0.420651,0.139566,0.420829,0.788460,0.132355,0.974235,0.946591,0.966639
66,0.088031,0.934990,0.958983,0.934584,0.830030,0.469296,0.629281,0.706836,0.834323,0.993028
67,0.239986,0.533029,0.548245,0.285964,0.985728,0.068483,0.617593,0.703708,0.457860,0.271269
68,0.409111,0.986998,0.905525,0.651679,0.809171,0.767680,0.254464,0.393640,0.350298,0.244822
69,0.401813,0.083738,0.066552,1.000000,0.070802,0.233356,0.619161,0.418742,0.793041,0.310555
70,0.168946,0.644038,0.427165,0.622387,0.795339,0.391988,0.914160,0.477883,0.214081,0.667467
71,0.707677,0.548245,0.154626,0.967265,0.474274,0.488684,0.569767,0.753492,0.350298,0.027947
72,0.076117,0.350703,0.681447,0.773903,0.680752,0.553363,0.582940,0.052359,0.793041,0.986332
73,0.419046,0.781818,0.932277,0.805500,0.816110,0.587399,0.592161,0.573368,0.257093,0.957009
74,0.901507,0.423899,0.806275,0.805500,0.661191,0.743906,0.806607,0.223263,0.963817,0.381202
75,0.532947,0.860577,0.761109,0.565597,0.537133,0.505239,0.695789,0.420172,0.282128,0.357801
76,0.077628,0.575435,0.756942,0.218258,0.622765,0.418577,0.869656,0.942752,0.792804,0.271738
77,0.017025,0.627615,0.214807,0.388786,0.543048,0.681356,0.493279,0.454420,0.214081,0.038132
78,0.300666,0.571509,0.579375,0.681519,0.496653,0.211182,0.017682,0.363690,0.932800,0.142973
79,0.654138,0.006698,0.003334,0.324654,0.003650,0.863917,0.142537,0.113216,0.270646,0.838557
80,0.404384,0.555942,0.243546,0.773903,0.347654,0.083535,0.960719,0.912275,0.880708,0.910559
81,0.210809,0.822250,0.623533,0.019324,0.622765,0.703664,0.219080,0.870194,0.385357,0.117777
82,0.759880,0.467699,0.496081,0.109482,0.971460,0.879429,0.303158,0.125648,0.441376,0.928726
83,0.711617,0.181876,0.218740,0.651679,0.149860,0.738585,0.598353,0.283832,0.104151,0.400277
84,0.553485,0.917914,0.878626,0.622387,0.957202,0.909757,0.358650,0.248254,0.880708,0.173975
85,0.346694,0.239266,0.417420,0.622387,0.263552,0.512757,0.542567,0.305290,0.718699,0.510192
86,0.676616,0.106728,0.226777,0.934584,0.165636,0.181529,0.522575,0.510450,0.793041,0.843726
87,0.423385,0.660597,0.325790,0.388786,0.667687,0.890099,0.514338,0.111329,0.932800,0.282760
88,0.867706,0.163837,0.170221,0.285964,0.099816,0.709061,0.725502,0.959220,0.331849,0.051874
89,0.705302,0.575435,0.247887,0.203297,0.338549,0.821235,0.214326,0.869027,0.815408,0.644788
90,0.093356,0.097171,0.277581,0.538167,0.165636,0.352912,0.586438,0.643254,0.932800,0.278965
91,0.135146,0.165414,0.113526,0.967265,0.152406,0.088213,0.118099,0.434823,0.724441,0.667518
92,0.680309,0.474694,0.710813,0.593681,0.788447,0.053199,0.577598,0.360241,0.834323,0.648044
93,0.674557,0.503342,0.051878,0.304902,0.279138,0.360898,0.343987,0.596134,0.336760,0.729998
94,0.816350,0.368073,0.386060,0.622387,0.279138,0.311660,0.514682,0.667945,0.072860,0.084965
95,0.313731,0.652302,0.769421,0.285964,0.567028,0.857062,0.619126,0.914183,0.834323,0.735047
96,0.973200,0.875086,0.563698,0.934584,0.641858,0.341632,0.939773,0.987116,0.792804,0.089058
97,0.608672,0.339462,0.492475,0.388786,0.830030,0.630055,0.656983,0.925031,0.094938,0.628956
98,0.122215,0.529263,0.961056,0.902014,0.603923,0.274982,0.707649,0.432558,0.758656,0.065222
99,0.966962,0.685633,0.956850,0.345221,0.687322,0.931658,0.973124,0.313440,0.312653,0.956624
100,0.598180,0.826194,0.447123,0.902014,0.667687,0.488688,0.213712,0.512307,0.724441,0.370651
101,0.451853,0.492475,0.723420,0.805500,0.795339,0.684731,0.664896,0.010719,0.793041,0.781802
102,0.839361,0.450510,0.611350,0.435542,0.629102,0.793589,0.994021,0.432957,0.001413,0.748247
103,0.783054,0.917914,0.994744,0.593681,0.844004,0.293880,0.645465,0.101758,0.288764,0.985866
104,0.951881,0.496081,0.810297,0.681519,0.727219,0.387699,0.971454,0.726811,0.605072,0.686921
105,0.883258,0.359311,0.447123,0.162916,0.283131,0.780023,0.394634,0.538236,0.932800,0.341144
106,0.641009,0.050112,0.018982,0.460087,0.026543,0.772207,0.948231,0.990205,0.659950,0.004025
107,0.592912,0.108955,0.284806,0.805500,0.648276,0.495418,0.903715,0.592556,0.758656,0.294908
108,0.266360,0.178483,0.170221,0.233993,0.115443,0.733242,0.701297,0.659167,0.793041,0.427229
109,0.800094,0.447123,0.660597,0.435542,0.802247,0.952547,0.639828,0.957176,0.834323,0.572910
110,0.638451,0.837890,0.895751,0.967265,0.942957,0.536088,0.563010,0.146647,0.457860,0.496668
111,0.763828,0.404668,0.379995,0.019324,0.255989,0.237715,0.725917,0.810865,0.230588,0.238996
112,0.848649,0.464227,0.325790,0.139566,0.325179,0.515867,0.040801,0.122154,0.288764,0.136459
113,0.547688,0.715015,0.920890,0.511421,0.809171,0.418573,0.969121,0.325863,0.441376,0.971668
114,0.281586,0.008066,0.013452,0.538167,0.021020,0.298712,0.737363,0.027902,0.402817,0.222628
115,0.849201,0.181876,0.398396,1.000000,0.213774,0.184801,0.406726,0.114743,0.257093,0.328575
116,0.951638,0.100273,0.194165,0.233993,0.142414,0.081772,0.560971,0.813620,0.351052,0.687808
117,0.156840,0.864254,0.506997,0.538167,0.591505,0.002484,0.116450,0.094331,0.984660,0.972487
118,0.205249,0.331209,0.090244,0.218258,0.188574,0.782664,0.567811,0.660258,0.984660,0.789374
119,0.569940,0.529263,0.345049,0.511421,0.802247,0.282027,0.899542,0.108223,0.537562,0.928507
120,0.152772,0.433749,0.496081,0.485387,0.935841,0.083541,0.944530,0.515132,0.140401,0.727241
121,0.703715,0.694016,0.727622,0.084772,0.616456,0.293490,0.725967,0.743923,0.509250,0.773852
122,0.564612,0.908694,0.506997,0.869608,0.648276,0.333949,0.103582,0.298596,0.441376,0.942216
123,0.265290,0.914889,0.457334,0.139566,0.597699,0.344984,0.969382,0.948315,0.519161,0.734882
124,0.548134,0.417420,0.798181,0.324654,0.661191,0.709061,0.225160,0.868400,0.019770,0.566445
125,0.414718,0.723420,0.810297,0.681519,0.661191,0.362916,0.885747,0.558055,0.057211,0.502881
126,0.114657,0.259001,0.744402,0.002390,0.457860,0.396792,0.464080,0.515120,0.531521,0.923581
127,0.673732,0.041545,0.036865,0.538167,0.031823,0.998287,0.525429,0.926346,0.324427,0.367729
128,0.198279,0.350703,0.062937,0.622387,0.426009,0.020560,0.569252,0.946002,0.594080,0.839223
129,0.849201,0.555942,0.548245,0.869608,0.597699,0.743202,0.044827,0.151045,0.140359,0.640965
130,0.240660,0.423899,0.748587,0.681519,0.707170,0.200810,0.273287,0.231192,0.402817,0.597260
131,0.425994,0.673090,0.681447,0.053751,0.992864,0.569646,0.062064,0.269860,0.963817,0.457860
132,0.805601,0.031474,0.065815,0.651679,0.045122,0.106311,0.960350,0.117440,0.686286,0.390530
133,0.916366,0.365135,0.356425,0.411770,0.263552,0.842442,0.637950,0.832657,0.932800,0.575378
134,0.986418,0.954656,0.923815,0.150897,0.795339,0.251135,0.970323,0.204574,0.588290,0.085979
135,0.622128,0.440402,0.307346,0.805500,0.474274,0.224835,0.541779,0.335675,0.946591,0.571540
136,0.703317,0.945286,0.945286,0.460087,1.000000,0.714451,0.183219,0.410076,0.014351,0.992864
137,0.546349,0.259001,0.583328,0.511421,0.641858,0.355366,0.430321,0.925397,0.146988,0.069566
138,0.649920,0.889021,0.386060,0.021551,0.554975,0.012107,0.237590,0.361576,0.285949,0.769060
139,0.680719,0.167004,0.740212,0.026684,0.395489,0.935452,0.527000,0.322743,0.215258,0.765402
140,0.902126,0.437067,0.376989,0.565597,0.320801,0.992062,0.028095,0.981894,0.414308,0.243083
141,0.993721,0.048398,0.101326,0.189098,0.117525,0.722511,0.307408,0.401681,0.282128,0.098380
