,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
443,0.767255,0.555052,0.548968,0.621904,0.319441,0.087407,0.325043,0.164442,0.423030,0.489211,0.202826
444,0.031005,0.312073,0.262603,0.775254,0.168375,0.943090,0.018340,0.286592,0.807124,0.333309,0.045533
445,0.842550,0.905516,0.808022,0.559222,0.499044,0.588089,0.861553,0.501695,0.005123,0.345930,0.072057
446,0.798251,0.327181,0.519108,0.311413,0.322199,0.357208,0.473522,0.264873,0.865784,0.586096,0.986738
447,0.802856,0.885556,0.746793,0.384570,0.874148,0.902963,0.951394,0.760062,0.202283,0.511721,0.254418
448,0.400479,0.077626,0.264051,0.677932,0.162341,0.760308,0.285604,0.044654,0.534677,0.497291,0.936767
449,0.958372,0.508598,0.729555,0.775254,0.445061,0.499580,0.105079,0.302510,0.147259,0.339484,0.889135
450,0.173960,0.060104,0.399950,0.311413,0.374473,0.958121,0.781072,0.800361,0.469223,0.771653,0.472263
451,0.279084,0.680443,0.156101,0.006424,0.413691,0.727351,0.197966,0.670391,0.179347,0.179415,0.514746
452,0.567288,0.835533,0.619043,0.063480,0.814395,0.649050,0.338748,0.243103,0.173543,0.634717,0.442923
453,0.729008,0.835533,0.286523,0.516412,0.440019,0.637849,0.336629,0.108741,0.994288,0.069522,0.868339
454,0.063854,0.203575,0.459129,0.585710,0.305887,0.434504,0.677598,0.581045,0.620866,0.245641,0.096349
455,0.268815,0.390147,0.736192,0.948263,0.646805,0.425559,0.341510,0.829232,0.755848,0.077624,0.910076
456,0.476841,0.037934,0.038660,0.370540,0.019923,0.153225,0.051247,0.954825,0.944409,0.348737,0.223830
457,0.461109,0.945843,0.685737,0.726040,0.753555,0.093518,0.794501,0.287702,0.502065,0.050000,0.126417
458,0.173870,0.051466,0.323777,0.330390,0.168375,0.525223,0.794823,0.959996,0.336674,0.869807,0.733797
459,0.091520,0.207750,0.339304,0.876244,0.173680,0.195582,0.203686,0.196207,0.050905,0.041118,0.611693
460,0.344877,0.482336,0.194282,0.917311,0.243893,0.364100,0.475162,0.822000,0.582349,0.570989,0.604900
461,0.891952,0.748116,0.559946,0.003963,0.455242,0.662820,0.051531,0.277144,0.538722,0.952008,0.182339
462,0.036354,0.668561,0.888807,0.421040,0.539368,0.018793,0.004186,0.051837,0.060428,0.389582,0.898938
463,0.630740,0.439835,0.343713,0.370540,0.279938,0.932573,0.238872,0.876170,0.196039,0.129807,0.962121
464,0.656974,0.665926,0.970375,0.248084,0.656997,0.983890,0.805652,0.559195,0.039640,0.296758,0.731111
465,0.976096,0.365468,0.165898,0.524836,0.184663,0.637994,0.047807,0.267599,0.359435,0.204217,0.934824
466,0.997504,0.481214,0.266235,0.198864,0.279938,0.568434,0.001816,0.895446,0.913963,0.331384,0.430455
467,0.233287,0.106416,0.043598,0.835507,0.120469,0.347285,0.772233,0.783505,0.652533,0.591390,0.966816
468,0.566312,0.459129,0.637140,0.927617,0.455242,0.450469,0.879836,0.299640,0.880359,0.983575,0.849314
469,0.523226,0.964566,0.660666,0.406215,0.679643,0.801697,0.138535,0.269700,0.747022,0.234952,0.078172
470,0.367945,0.038806,0.012798,0.687457,0.022625,0.080134,0.818512,0.210277,0.969876,0.003405,0.246300
471,0.870394,0.075254,0.050167,0.269981,0.042562,0.534256,0.000028,0.248228,0.261441,0.342011,0.785074
472,0.839067,0.669879,0.967548,0.428570,0.706782,0.385195,0.340616,0.997704,0.880359,0.928041,0.905309
473,0.446563,0.251936,0.714939,0.275657,0.472498,0.733963,0.159894,0.018768,0.741012,0.380192,0.517973
474,0.077534,0.364541,0.742821,0.356832,0.648838,0.878258,0.523968,0.383382,0.435982,0.058125,0.623266
475,0.121544,0.175135,0.407917,0.576816,0.300573,0.301375,0.956732,0.595820,0.265259,0.315967,0.301302
476,0.002624,0.473407,0.309608,0.697031,0.810008,0.993442,0.116432,0.064929,0.245267,0.346303,0.250203
477,0.242923,0.445139,0.829372,0.508059,0.663143,0.567398,0.208563,0.703034,0.028628,0.245148,0.312153
478,0.838277,0.055141,0.006867,0.232498,0.067675,0.521421,0.329036,0.680802,0.690297,0.570969,0.561215
479,0.224184,0.852446,0.845262,0.927617,0.511699,0.179604,0.051294,0.746206,0.346982,0.537902,0.909316
480,0.585617,0.946614,0.808022,0.237614,0.816592,0.558237,0.221139,0.050031,0.695564,0.410424,0.731507
481,0.869404,0.734865,0.899380,0.275657,0.849697,0.600299,0.161938,0.284165,0.731868,0.091855,0.185265
482,0.080130,0.466782,0.169442,0.099318,0.277428,0.090859,0.458376,0.399444,0.100361,0.619440,0.209634
483,0.603911,0.461307,0.244330,0.896743,0.727918,0.226390,0.445963,0.641138,0.287312,0.474349,0.777678
484,0.573414,0.499365,0.545334,0.413588,0.316700,0.003560,0.005672,0.189516,0.627112,0.198611,0.033275
485,0.410450,0.574764,0.509759,0.443864,0.939127,0.496564,0.500601,0.284661,0.700119,0.966152,0.434336
486,0.204028,0.864182,0.883368,0.795208,0.704681,0.717942,0.147388,0.252416,0.674560,0.545126,0.749680
487,0.981901,0.592295,0.471192,0.979293,0.385215,0.304003,0.081588,0.234012,0.241510,0.138031,0.149526
488,0.990986,0.405915,0.673836,0.649671,0.383669,0.007692,0.659902,0.465963,0.081074,0.316180,0.116154
489,0.754729,0.808022,0.959477,0.745603,0.834211,0.294037,0.004962,0.996492,0.162322,0.404098,0.173225
490,0.347470,0.079242,0.348164,0.835507,0.182798,0.802100,0.261539,0.281567,0.029130,0.018035,0.707477
491,0.473044,0.103660,0.172528,0.275657,0.159805,0.944302,0.025358,0.200361,0.131423,0.796905,0.477918
492,0.117867,0.389177,0.092915,0.585710,0.201091,0.157845,0.521753,0.420419,0.930193,0.049923,0.128282
493,0.642082,0.023557,0.042156,0.467378,0.021799,0.207268,0.098907,0.366870,0.338246,0.930959,0.067263
494,0.078139,0.274363,0.322085,0.203439,0.350623,0.295864,0.656655,0.477208,0.283269,0.077781,0.486351
495,0.309902,0.099968,0.436674,0.567986,0.465553,0.968832,0.033550,0.035585,0.695336,0.210482,0.216051
496,0.603364,0.080060,0.150453,0.835507,0.081454,0.064958,0.013152,0.262867,0.655550,0.992142,0.290390
497,0.060677,0.706966,0.399950,0.886484,0.715211,0.764369,0.000217,0.887696,0.124109,0.033911,0.581785
498,0.638358,0.880059,0.804198,0.716324,0.671373,0.891162,0.372236,0.766693,0.177962,0.961447,0.746309
499,0.503903,0.159962,0.589775,0.594666,0.479500,0.390512,0.201805,0.165356,0.814603,0.317041,0.931264
500,0.090782,0.547755,0.459129,0.612765,0.402472,0.472809,0.823164,0.291066,0.374403,0.718696,0.127795
501,0.141697,0.445139,0.091066,0.805236,0.232636,0.474470,0.194350,0.436467,0.288525,0.795325,0.129152
502,0.743931,0.213833,0.248456,0.044268,0.147574,0.004322,0.040021,0.078061,0.023974,0.524427,0.837375
503,0.708557,0.661980,0.629361,0.242809,0.632647,0.249156,0.861375,0.136383,0.126689,0.380764,0.548475
504,0.311886,0.128687,0.091986,0.855828,0.118455,0.032798,0.740923,0.966636,0.239492,0.786459,0.410472
505,0.715734,0.869931,0.370123,0.927617,0.465553,0.335040,0.654917,0.823649,0.345560,0.340117,0.422990
506,0.839418,0.501663,0.526187,0.968944,0.304553,0.051420,0.306873,0.061016,0.424105,0.112266,0.862605
507,0.738616,0.668561,0.893087,0.075413,0.801250,0.130729,0.466237,0.131905,0.755848,0.977364,0.660331
508,0.670476,0.228358,0.385311,0.483430,0.781637,0.369240,0.327914,0.178872,0.979957,0.241568,0.712501
509,0.046788,0.802920,0.451560,0.755447,0.596864,0.521240,0.788513,0.582695,0.201005,0.495209,0.532760
510,0.539276,0.833076,0.450485,0.550524,0.665197,0.018658,0.765769,0.061851,0.761043,0.222724,0.938107
511,0.411272,0.713610,0.201806,0.483430,0.453536,0.734877,0.865588,0.931670,0.336674,0.734898,0.797259
512,0.204226,0.092295,0.147692,0.785213,0.101493,0.172222,0.114773,0.021398,0.956974,0.143394,0.407898
513,0.121895,0.677799,0.709623,0.177118,0.972924,0.047237,0.888603,0.430926,0.889964,0.679644,0.365859
514,0.915004,0.513253,0.370123,0.508059,0.515345,0.737038,0.608617,0.920504,0.162520,0.957619,0.051358
515,0.908359,0.691037,0.552614,0.172990,0.673437,0.814324,0.454270,0.968661,0.459751,0.564110,0.563659
516,0.721151,0.508598,0.911488,0.042916,0.541239,0.848816,0.352250,0.542282,0.913963,0.409160,0.004491
517,0.973190,0.639741,0.190324,0.516412,0.380589,0.886549,0.032479,0.100849,0.385866,0.933763,0.063821
518,0.497837,0.962071,0.679120,0.603685,0.723674,0.311039,0.345594,0.669957,0.020650,0.100940,0.724041
519,0.191127,0.730883,0.937819,0.726040,0.801250,0.648169,0.691714,0.347322,0.323775,0.602826,0.214023
520,0.879721,0.369189,0.408921,0.343449,0.396144,0.093837,0.344568,0.103775,0.199495,0.866042,0.152755
521,0.810228,0.806749,0.880059,0.015785,0.646805,0.215650,0.407865,0.683691,0.499030,0.952872,0.144629
522,0.963899,0.304720,0.622905,0.063480,0.671373,0.103776,0.181840,0.483368,0.620560,0.524352,0.371103
523,0.562683,0.461307,0.470087,0.825387,0.295322,0.138856,0.034550,0.246513,0.664131,0.483988,0.848194
524,0.023951,0.824402,0.760000,0.189943,0.943628,0.794196,0.046615,0.763404,0.817320,0.292723,0.378115
525,0.207909,0.556274,0.601154,0.048540,0.959396,0.597301,0.175496,0.074560,0.502366,0.181872,0.677321
526,0.750325,0.281153,0.236904,0.835507,0.930130,0.076000,0.154650,0.959019,0.797107,0.376002,0.635104
527,0.813994,0.981005,0.786167,0.876244,0.719438,0.978780,0.683745,0.688172,0.760151,0.606584,0.133917
528,0.301658,0.438780,0.778360,0.697031,0.632647,0.421210,0.232120,0.073069,0.719320,0.961907,0.949529
529,0.133436,0.750761,0.787464,0.621904,0.968414,0.262496,0.344492,0.438953,0.755848,0.878605,0.603321
530,0.373928,0.422126,0.086578,0.765331,0.240476,0.756913,0.659890,0.459063,0.574984,0.608073,0.202946
531,0.987858,0.903488,0.993870,0.491567,0.762163,0.925814,0.266942,0.779017,0.461447,0.007398,0.261064
532,0.964386,0.517934,0.398962,0.612765,0.876377,0.902944,0.895950,0.596989,0.659048,0.376015,0.404647
533,0.103833,0.895201,0.710952,0.317657,0.834211,0.779694,0.500610,0.009441,0.281931,0.990924,0.213050
534,0.792459,0.842845,0.800359,0.927617,0.533775,0.931246,0.023901,0.619699,0.199495,0.541601,0.388078
535,0.354378,0.191448,0.270645,0.621904,0.176379,0.859584,0.000667,0.753091,0.893405,0.060724,0.443947
536,0.512086,0.904505,0.932735,0.281413,0.966159,0.525772,0.246473,0.634976,0.446093,0.469020,0.904259
537,0.408943,0.908523,0.484585,0.116345,0.590991,0.761617,0.219715,0.170998,0.930193,0.352296,0.250829
538,0.425175,0.170466,0.287297,0.775254,0.202090,0.734093,0.833161,0.896667,0.711056,0.929711,0.487742
539,0.632214,0.774441,0.774441,0.855828,1.000000,0.301850,0.256180,0.849160,0.240457,0.440019,0.962052
540,0.509829,0.868788,0.697670,0.533330,0.708886,0.208231,0.002397,0.410188,0.302512,0.194270,0.061858
541,0.516458,0.949639,0.612629,0.937934,0.594903,0.724683,0.161801,0.725386,0.231890,0.412305,0.647169
542,0.694463,0.852446,0.805475,0.428570,0.725795,0.746260,0.313560,0.312244,0.135932,0.185544,0.525818
543,0.021687,0.483460,0.665926,0.483430,0.425093,0.202809,0.010307,0.598528,0.708829,0.316264,0.218174
544,0.319500,0.242287,0.284981,0.948263,0.147574,0.120502,0.366636,0.782642,0.379815,0.999890,0.612387
545,0.340356,0.520284,0.647564,0.524836,0.567768,0.563221,0.596640,0.584020,0.956974,0.428115,0.203173
546,0.667895,0.327181,0.319560,0.119393,0.393002,0.583337,0.019768,0.995596,0.213123,0.902381,0.971108
