,BlockFrequency,CumulativeSums1,CumulativeSums2,FFT,Frequency,LinearComplexity,LongestRun,OverlappingTemplate,Rank,Runs,Universal
54,0.093011,0.165898,0.317885,0.785213,0.223900,0.344986,0.137075,0.452632,0.234699,0.009632,0.000751
55,0.481768,0.577252,0.449413,0.499777,0.359452,0.742185,0.546367,0.500601,0.179120,0.290673,0.988755
56,0.390711,0.409926,0.596084,0.467378,0.416930,0.071585,0.648915,0.332837,0.502065,0.213655,0.981618
57,0.516317,0.013761,0.012526,0.835507,0.012114,0.083269,0.001619,0.027532,0.039834,0.333585,0.785509
58,0.807887,0.269906,0.412953,0.370540,0.816592,0.030444,0.159954,0.778472,0.891422,0.407301,0.093959
59,0.962791,0.011793,0.018300,0.533330,0.010647,0.048319,0.264194,0.745552,0.011448,0.144635,0.825733
60,0.194183,0.679120,0.845262,0.886484,0.583201,0.602539,0.482695,0.269762,0.020980,0.295518,0.818460
61,0.199214,0.522640,0.520284,0.896743,0.997743,0.999736,0.363721,0.123306,0.379815,0.028996,0.036958
62,0.089318,0.003853,0.003042,0.248084,0.008599,0.728108,0.391237,0.097582,0.972553,0.752580,0.946092
63,0.004302,0.522640,0.847668,0.516412,0.719438,0.509343,0.414029,0.726145,0.498023,0.760147,0.135011
64,0.060760,0.540511,0.680443,0.668459,0.876377,0.316924,0.551430,0.831156,0.770145,0.772991,0.477389
65,0.313377,0.650178,0.924745,0.181319,0.654953,0.220324,0.671433,0.707241,0.907783,0.316836,0.570637
66,0.861062,0.086578,0.062062,0.687457,0.046148,0.588053,0.566989,0.608570,0.233876,0.679665,0.544144
67,0.207909,0.516762,0.460217,0.475367,0.943628,0.332136,0.442110,0.225626,0.652533,0.341937,0.241516
68,0.002745,0.890955,0.877833,0.948263,0.986460,0.525010,0.079011,0.911162,0.212923,0.000390,0.369904
69,0.653567,0.424183,0.863023,0.716324,0.614641,0.742444,0.196778,0.755890,0.866476,0.479723,0.215125
70,0.385316,0.404916,0.299091,0.845655,0.214355,0.259344,0.224468,0.982987,0.334735,0.460774,0.331243
71,0.053786,0.296704,0.672516,0.330390,0.620618,0.263602,0.622576,0.344028,0.146374,0.945604,0.652371
72,0.357523,0.556274,0.914410,0.896743,0.506255,0.759384,0.678299,0.769956,0.984705,0.226301,0.585709
73,0.110557,0.002008,0.015820,0.253438,0.013865,0.429476,0.264433,0.152032,0.878799,0.145189,0.464332
74,0.324031,0.429357,0.251936,0.116345,0.334798,0.941827,0.965512,0.925505,0.162513,0.000506,0.063085
75,0.040546,0.977478,0.996023,0.406215,0.856352,0.107611,0.528598,0.394067,0.151381,0.121838,0.206892
76,0.242048,0.635841,0.962704,0.258872,0.687951,0.660230,0.182925,0.736732,0.674560,0.038968,0.684828
77,0.807201,0.062062,0.060104,0.603685,0.036599,0.386892,0.333506,0.377220,0.682072,0.228436,0.943202
78,0.463914,0.036658,0.068747,0.067271,0.043436,0.709650,0.450908,0.317861,0.396975,0.443439,0.873325
79,0.040817,0.164397,0.185331,0.116345,0.169251,0.741675,0.414192,0.074021,0.307007,0.493769,0.328677
80,0.460408,0.043113,0.065216,0.775254,0.045839,0.987447,0.397217,0.341505,0.254576,0.436663,0.255482
81,0.011314,0.612629,0.878948,0.697031,0.768638,0.665255,0.869460,0.681479,0.572917,0.997841,0.568077
82,0.255919,0.046266,0.026975,0.937934,0.024719,0.298423,0.297492,0.330654,0.108889,0.190840,0.501386
83,0.201171,0.088948,0.155624,0.089116,0.139826,0.034165,0.084439,0.455565,0.664131,0.060793,0.353832
84,0.040187,0.745470,0.300691,0.775254,0.573532,0.407618,0.160915,0.946590,0.054551,0.511987,0.752625
85,0.000505,0.085703,0.119970,0.071247,0.086524,0.370921,0.440079,0.384632,0.346210,0.279267,0.207342
86,0.484163,0.516762,0.184783,0.022367,0.341934,0.524460,0.911685,0.044687,0.090575,0.238725,0.212752
87,0.699069,0.973566,0.991720,0.391705,0.907680,0.171114,0.320916,0.220525,0.170879,0.823174,0.396967
88,0.129801,0.042473,0.146327,0.765331,0.079495,0.476566,0.199720,0.900615,0.463822,0.160254,0.799696
89,0.595682,0.216926,0.701652,0.649671,0.479500,0.288225,0.525269,0.821091,0.875069,0.224169,0.266425
90,0.297756,0.430397,0.912467,0.248084,0.509881,0.152481,0.316206,0.860171,0.062185,0.047784,0.308147
91,0.317745,0.212605,0.139221,0.745603,0.223900,0.536965,0.149354,0.421614,0.051442,0.217227,0.046008
92,0.402113,0.029299,0.033825,0.508059,0.017373,0.850509,0.185941,0.359022,0.101534,0.567436,0.921216
93,0.000076,0.044582,0.012103,0.491567,0.036599,0.393550,0.503716,0.899812,0.240333,0.049713,0.400083
94,0.097353,0.861860,0.334936,0.217619,0.502643,0.335891,0.038895,0.293326,0.379815,0.432975,0.017052
95,0.394501,0.484585,0.371060,0.317657,0.876377,0.013636,0.572066,0.066122,0.228623,0.546894,0.671328
96,0.728890,0.232929,0.234910,0.917311,0.183729,0.973455,0.557896,0.762036,0.571852,0.527994,0.918581
97,0.436121,0.253338,0.473407,0.275657,0.303222,0.867769,0.412376,0.911884,0.261441,0.904385,0.299030
98,0.243361,0.222584,0.277365,0.594666,0.467284,0.028104,0.750032,0.121184,0.607486,0.462556,0.009878
99,0.021263,0.004158,0.001909,0.594666,0.002429,0.675280,0.289841,0.392089,0.175347,0.059442,0.000306
100,0.394095,0.001301,0.002175,0.516412,0.001492,0.155243,0.611350,0.521690,0.855723,0.037896,0.496997
101,0.040009,0.107816,0.207150,0.258872,0.153190,0.206519,0.002395,0.256382,0.944409,0.792472,0.333500
102,0.194856,0.673836,0.728227,0.194366,0.632647,0.346092,0.880102,0.234176,0.461791,0.660858,0.957286
103,0.131276,0.194852,0.216926,0.979293,0.123886,0.153709,0.551397,0.499977,0.492953,0.044980,0.284289
104,0.990035,0.180443,0.239584,0.979293,0.166634,0.456997,0.896984,0.217491,0.700336,0.832099,0.452963
105,0.020135,0.503968,0.343713,0.077569,0.353551,0.590318,0.339949,0.241573,0.050093,0.241122,0.067689
106,0.434316,0.801640,0.579746,0.612765,0.810008,0.229302,0.360800,0.656878,0.461447,0.845331,0.633971
107,0.483458,0.259725,0.230308,0.795208,0.195176,0.226039,0.318821,0.549535,0.057435,0.315113,0.236236
108,0.952724,0.256871,0.705637,0.293169,0.458664,0.378171,0.128520,0.255313,0.402554,0.240787,0.306658
109,0.037748,0.446205,0.591034,0.989646,0.860795,0.083388,0.187389,0.099210,0.928672,0.073853,0.428183
110,0.183895,0.387240,0.109233,0.168934,0.533775,0.902352,0.060445,0.250613,0.120785,0.875945,0.455921
111,0.041363,0.668561,0.718926,0.139018,0.860795,0.079826,0.231699,0.025101,0.217229,0.446774,0.312266
112,0.049303,0.959477,0.971463,0.559222,0.977435,0.410129,0.172467,0.118688,0.494505,0.063532,0.736412
113,0.391522,0.517934,0.396991,0.483430,0.309913,0.764121,0.425980,0.822079,0.246227,0.040171,0.769968
114,0.406891,0.112841,0.057370,0.576816,0.056971,0.798332,0.261839,0.076691,0.404625,0.009249,0.328389
115,0.035163,0.256871,0.090761,0.649671,0.215401,0.693983,0.501898,0.814638,0.328186,0.889252,0.432973
116,0.075003,0.193712,0.557497,0.726040,0.562031,0.371871,0.003454,0.000795,0.259343,0.001568,0.413053
117,0.081687,0.274363,0.702980,0.149719,0.388319,0.174211,0.248045,0.478738,0.111305,0.237511,0.348242
118,0.243581,0.470087,0.655416,0.102009,0.451834,0.969500,0.350999,0.824073,0.798936,0.041500,0.705169
119,0.328081,0.323777,0.771823,0.413588,0.581261,0.757157,0.350112,0.008712,0.512391,0.989060,0.400352
120,0.057625,0.917289,0.970375,0.845655,0.921142,0.978207,0.057434,0.460298,0.986454,0.295328,0.556674
121,0.152754,0.127874,0.170466,0.948263,0.087044,0.855435,0.181936,0.062097,0.178229,0.156852,0.063698
122,0.076783,0.025416,0.074478,0.125678,0.041420,0.437651,0.213816,0.573699,0.144467,0.115205,0.262622
123,0.662451,0.615191,0.672516,0.958600,0.950383,0.494258,0.698944,0.038428,0.767399,0.638703,0.409682
124,0.030504,0.307156,0.417012,0.745603,0.263897,0.140112,0.274460,0.732209,0.105472,0.598088,0.031153
125,0.113001,0.417012,0.244330,0.350100,0.772964,0.773369,0.284529,0.449944,0.928672,0.438416,0.737977
126,0.162401,0.335806,0.695016,0.706654,0.652912,0.282889,0.142439,0.158364,0.719320,0.038706,0.772399
127,0.019886,0.334936,0.266235,0.866025,0.300573,0.726381,0.220561,0.453254,0.865784,0.288247,0.715295
128,0.072968,0.709623,0.689711,0.559222,0.420184,0.316156,0.235117,0.398323,0.162322,0.194517,0.014049
129,0.217958,0.615191,0.405915,0.089116,0.343372,0.652102,0.963855,0.024489,0.774615,0.992217,0.226359
130,0.786259,0.055741,0.050720,0.775254,0.037627,0.995528,0.081848,0.867073,0.141011,0.423713,0.836808
131,0.128556,0.140971,0.081719,0.567986,0.090761,0.124631,0.559086,0.427339,0.202283,0.031236,0.094315
132,0.014649,0.702980,0.591034,0.745603,0.903198,0.415995,0.501358,0.745454,0.525004,0.235982,0.300117
133,0.123732,0.310428,0.368256,0.053153,0.925635,0.520755,0.115358,0.712875,0.891422,0.416937,0.965116
134,0.762088,0.358107,0.752083,0.524836,0.634662,0.534832,0.456434,0.444321,0.109185,0.350788,0.969127
135,0.640753,0.874468,0.434575,0.576816,0.614641,0.232801,0.568334,0.327125,0.649550,0.535872,0.323772
136,0.890203,0.955405,0.774441,0.281413,0.659043,0.764336,0.838286,0.254921,0.132053,0.119189,0.308737
137,0.620235,0.462399,0.567330,0.217619,0.528211,0.967678,0.212933,0.064996,0.371765,0.312885,0.247734
138,0.352679,0.808022,0.681766,0.805236,0.892007,0.263277,0.881536,0.447604,0.464520,0.941398,0.131252
139,0.612641,0.689711,0.788760,0.135585,0.683792,0.076917,0.501448,0.989475,0.034492,0.170203,0.902182
140,0.062994,0.960135,0.928349,0.336879,0.896481,0.980190,0.546022,0.002727,0.950382,0.303234,0.636745
141,0.091977,0.888807,0.652795,0.640358,0.792517,0.488458,0.942434,0.402303,0.918002,0.305933,0.712015
